PlayerID,sc1_stop,sc1_begin,sc1_experience,sc1_melee,rts_play
0,2005,2001,Yes,Yes,No
1,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
2,2010,2005,Yes,Yes,Yes
19,2000,1998,Yes,Yes,No
4,2001,1998,Yes,No,No
6,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,Yes
7,2009,2006,Yes,Yes,Yes
8,2006,1998,Yes,Yes,Yes
9,2009,2007,Yes,No,Yes
63,2008,1998,Yes,No,Yes
11,please choose,please choose,No,Did not play StarCraft 1,No
72,2012,2012,No,Did not play StarCraft 1,Yes
13,2000,1998,Yes,No,Yes
14,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
16,2004,2000,Yes,Yes,Yes
17,2010,1999,Yes,Yes,Yes
18,1999,1998,Yes,No,No
20,2008,2002,Yes,No,No
21,Never Played SC1,Never Played SC1,No,No,No
22,2005,2005,Yes,Yes,No
23,Still Playing SC1,1998,Yes,Yes,Yes
24,2000,1998,Yes,Yes,No
25,2009,2003,Yes,No,Yes
26,2002,1999,Yes,Yes,Yes
27,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
28,please choose,please choose,No,Did not play StarCraft 1,No
29,2012,2008,Yes,No,Yes
30,2007,2002,Yes,Yes,No
32,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
33,2011,2011,Yes,No,Yes
34,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
35,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
36,Still Playing SC1,2006,Yes,Yes,Yes
37,please choose,please choose,No,Did not play StarCraft 1,Yes
38,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,Yes
39,1999,1999,Yes,No,No
40,2010,2000,Yes,No,No
41,2008,2000,Yes,No,Yes
42,2003,1998,Yes,Yes,Yes
43,2009,2005,Yes,No,No
44,2008,2002,Yes,No,Yes
45,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
46,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
47,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
48,Never Played SC1,Never Played SC1,No,No,No
49,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,Yes
50,2011,1998,Yes,Yes,No
51,2010,2010,Yes,Yes,No
52,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
53,Still Playing SC1,2011,Yes,No,Yes
54,2010,2006,Yes,Yes,No
55,2004,1998,Yes,Yes,Yes
56,2009,2005,Yes,Yes,No
57,NULL,NULL,NULL,NULL,NULL
58,2004,1998,Yes,Yes,Yes
59,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,Yes
61,please choose,please choose,No,Did not play StarCraft 1,Yes
62,2007,2007,Yes,Yes,Yes
64,2011,2010,Yes,No,No
65,2004,1999,Yes,No,No
68,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,Yes
69,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,Yes
73,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,Yes
74,2005,2001,Yes,Yes,No
75,2010,2007,Yes,Yes,No
78,2005,2000,Yes,Yes,No
79,2010,1998,Yes,Yes,Yes
80,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,Yes
82,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
83,2000,1998,Yes,No,Yes
84,1999,1998,Yes,Yes,Yes
85,2010,2002,Yes,Yes,No
87,2002,2000,Yes,Yes,Yes
88,2002,1998,Yes,No,Yes
91,2002,1998,Yes,Yes,Yes
92,Never Played SC1,Never Played SC1,No,No,No
93,2003,1999,Yes,Yes,Yes
95,2003,2000,Yes,Yes,No
96,2003,1998,Yes,Yes,Yes
98,2009,2003,Yes,Yes,No
99,2001,1999,Yes,Yes,Yes
100,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,Yes
101,2004,2002,Yes,Yes,No
103,2010,2005,Yes,No,Yes
104,2010,2004,Yes,Yes,No
129,Still Playing SC1,2010,Yes,No,No
106,2010,1998,Yes,Yes,No
107,2003,2003,Yes,No,No
108,2002,2000,Yes,No,Yes
109,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,Yes
110,NULL,NULL,NULL,NULL,NULL
111,2004,1998,Yes,No,No
112,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,Yes
113,2002,2000,Yes,Yes,Yes
114,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
115,2004,1999,Yes,Yes,No
116,2001,1998,Yes,Yes,No
117,2010,2003,Yes,Yes,Yes
118,Never Played SC1,Never Played SC1,No,No,Yes
119,2000,1998,Yes,No,Yes
121,Never Played SC1,Never Played SC1,No,Did not play StarCraft 1,No
122,Never Played SC1,Never Played SC1,No,No,No
123,2010,2010,Yes,No,No
124,please choose,please choose,No,Did not play StarCraft 1,No
125,2009,2008,Yes,Yes,Yes
126,Never Played SC1,Never Played SC1,No,No,No
127,2006,1998,Yes,Yes,No
128,2004,2000,Yes,Yes,No
